id,label
4371,1
5000,1
3610,1
5069,1
906,1
4711,1
1258,1
1236,1
97,1
4732,1
3611,1
837,0
340,0
3275,1
4786,1
5232,1
618,0
4772,1
860,1
3298,1
4846,1
3927,1
1266,1
3350,1
2993,1
3868,1
4127,0
5381,1
815,1
1488,1
3963,1
5039,1
5460,1
1730,1
4724,1
4491,1
3627,1
1353,1
1782,1
5212,0
3717,1
1970,1
642,1
1090,1
2881,1
4459,1
408,1
2804,1
4561,1
1069,1
2503,1
1029,1
1886,1
5359,1
4042,1
975,1
1057,1
5035,1
4592,1
5417,0
3805,1
55,1
62,1
2605,1
4400,1
2349,1
349,1
3501,1
3832,1
4940,1
2449,1
3880,1
5016,1
900,1
3870,1
1650,1
2010,1
3025,1
2384,1
356,1
313,0
195,1
3966,1
1519,1
245,1
2429,1
4359,1
104,1
561,1
3204,1
4217,0
205,0
3123,1
3060,1
1812,1
4667,1
2452,1
1198,1
4190,1
421,0
2770,1
1738,1
4600,1
2275,1
4288,1
4777,1
2961,1
3994,1
4175,1
5393,0
4021,1
3514,1
3850,1
4260,1
3306,1
4405,1
5446,0
1480,1
179,1
2354,1
3414,1
1277,1
1218,1
2403,1
377,1
4083,1
3895,1
2936,1
5268,1
51,1
2265,1
336,1
3952,1
2566,1
1828,1
366,1
4899,1
792,1
930,0
4334,1
3924,1
461,1
4456,1
3595,1
3038,1
368,1
749,1
3178,1
672,0
159,1
277,1
4536,1
2528,1
1111,1
2878,1
3291,1
539,1
575,1
3099,1
3659,1
3674,0
80,1
4517,1
3294,1
571,0
3357,1
2534,1
2124,1
4936,1
829,1
3359,1
1786,1
2179,1
5193,1
118,0
623,1
5219,1
2156,1
2196,1
3649,1
3997,1
3761,1
1783,1
3818,1
3323,1
4089,1
524,1
3703,1
4302,1
2039,1
3041,1
4994,1
1957,1
2411,1
4674,1
4455,1
4278,1
2979,1
1094,1
4465,0
1107,1
990,1
924,0
1810,1
4753,0
1946,1
3075,1
4004,1
174,1
3815,1
566,1
1039,1
2184,1
3677,1
2107,1
759,1
2447,1
2436,1
4182,1
3144,1
4801,1
2074,1
4191,1
3929,1
5202,0
315,1
3710,1
847,1
616,1
2037,1
1846,1
2269,1
4253,1
4586,1
1293,1
5181,1
2183,1
1793,1
2112,1
4981,0
3757,1
5225,1
331,1
4955,1
3576,1
1876,1
2632,1
1206,1
2193,1
4112,0
4458,1
4296,1
974,1
998,1
2210,1
530,1
3676,0
3593,1
3036,1
3840,1
4282,1
2535,1
4925,1
1037,1
968,0
3097,1
4632,1
3437,0
2428,1
164,1
643,1
4132,1
3628,1
2066,1
2526,1
835,0
1369,1
3189,1
3478,1
4486,1
2415,1
105,1
4893,1
4049,1
1103,1
3569,1
4834,1
1889,1
3113,1
4386,1
5353,0
2420,1
102,1
3227,1
4263,0
3581,1
2142,1
2482,1
3173,1
4130,1
4975,0
2036,1
305,1
4865,1
3561,1
216,1
1391,1
4163,1
840,1
5402,1
3507,1
1612,1
173,1
253,1
1717,1
1529,1
3726,1
4496,1
861,0
775,1
1227,1
5046,1
977,1
4516,1
4688,1
3948,1
1574,1
4882,1
2801,1
4837,1
4719,1
2563,1
2054,1
5444,1
2776,1
3546,1
5321,1
3348,1
3385,1
5036,1
5051,1
747,1
4184,0
2652,1
4153,1
4894,0
4647,1
4447,1
5011,0
1498,0
3798,0
2035,1
2172,1
1913,1
4579,1
2546,1
5280,1
1921,1
1038,1
2581,1
542,1
5266,1
2357,1
786,1
691,1
5395,1
4646,1
4694,1
4733,1
4340,1
1076,1
2109,1
4188,1
2664,1
1656,1
811,1
3352,1
1984,1
4383,1
1537,1
4143,0
146,1
4460,1
631,1
3993,1
64,1
5130,1
1357,1
3285,1
3596,1
2677,1
551,0
3067,1
324,1
899,1
1644,1
1617,1
5431,1
4531,1
4233,1
2977,1
2200,1
2490,1
3980,1
1883,1
4623,1
1858,1
2815,1
3405,1
4631,1
4267,1
582,1
402,1
4264,1
969,1
3295,1
4444,1
1089,1
2134,1
834,1
4034,1
3886,1
1148,1
2,1
1862,1
5198,1
3416,1
1640,1
3586,1
2219,1
4617,0
1920,1
2235,1
4947,1
2756,1
3697,1
1790,1
3954,1
2820,1
1497,1
1366,1
5131,1
2478,1
3192,1
3149,1
4569,1
3057,1
626,1
4983,0
3202,1
3762,1
2865,1
3197,1
3228,1
2542,1
2807,1
5406,1
3012,1
2077,1
432,1
2451,1
1933,1
2132,1
3555,0
5325,1
3086,1
1095,1
3527,1
789,1
2829,1
2117,1
4888,1
1305,1
3992,1
997,1
572,1
2075,1
4900,1
4602,1
2609,1
2894,1
4804,1
5101,1
1994,1
583,1
3182,1
110,1
2941,1
2844,1
3680,1
2681,1
1474,1
2557,1
4286,1
3454,1
4435,1
5030,1
4174,0
363,0
3928,1
3284,1
1847,1
2796,1
3592,1
2762,1
1005,1
4438,0
3168,1
2984,1
2902,1
4355,0
436,0
3278,1
130,1
2646,1
1142,1
3491,1
4903,1
766,0
1419,1
4553,1
1056,1
3526,1
5204,1
1151,0
5092,1
1169,1
3484,1
4644,1
1002,1
1649,1
2814,1
5459,1
2704,1
2987,1
1132,1
473,1
3031,1
3917,1
1958,1
2855,1
1806,1
4926,1
1495,1
5143,0
5043,1
3324,1
3152,1
1072,1
2588,1
657,1
3450,1
2140,1
2414,0
1121,1
2386,1
2849,1
5414,1
843,1
5447,0
1154,1
796,1
1639,1
1962,1
4677,0
3974,1
3686,1
3512,1
5281,0
5449,1
2590,1
799,1
3605,1
4762,1
1139,1
2376,1
5360,1
5161,1
4376,1
2242,1
3882,1
4354,1
2784,1
2464,1
1605,1
66,1
4655,1
2248,1
2809,1
3846,1
674,1
3170,1
2981,1
3424,1
1234,1
4164,1
1485,1
1080,1
333,1
1888,1
3205,1
4283,1
1098,1
2366,1
678,1
3337,1
3248,1
